1;"AULA 01";"AULA 01";"";
2;"AULA 01 (Lab. Institucional N°1)";"AULA 01 (Lab. Institucional N°1)";"";
3;"AULA 02";"AULA 02";"";
4;"AULA 03";"AULA 03";"";
5;"AULA 04";"AULA 04";"";
6;"AULA 05";"AULA 05";"";
7;"AULA 06";"AULA 06";"";
8;"AULA 07";"AULA 07";"";
9;"AULA 08";"AULA 08";"";
10;"AULA 09";"AULA 09";"";
11;"AULA 10";"AULA 10";"";
12;"AULA 11";"AULA 11";"";
13;"AULA 12";"AULA 12";"";
14;"AULA 13 (Lab. Inglés N°1)";"AULA 13 (Lab. Inglés N°1)";"";
15;"AULA 13A";"AULA 13A";"";
16;"AULA 13B";"AULA 13B";"";
17;"AULA 14";"AULA 14";"";
18;"AULA 14-B";"AULA 14-B";"";
19;"AULA 15";"AULA 15";"";
20;"AULA 16 (Aula Labor@)";"AULA 16 (Aula Labor@)";"";
21;"AULA 17 (Lab. Institucional N°5)";"AULA 17 (Lab. Institucional N°5)";"";
22;"AULA 18";"AULA 18";"";
23;"AULA 18 (Lab. Inglés N°4)";"AULA 18 (Lab. Inglés N°4)";"";
24;"AULA 19";"AULA 19";"";
25;"AULA 20";"AULA 20";"";
26;"AULA 20A";"AULA 20A";"";
27;"AULA 20B";"AULA 20B";"";
28;"AULA 20B (Lab. Inglés N°3)";"AULA 20B (Lab. Inglés N°3)";"";
29;"AULA 20B-1 (Lab. Inglés N°2)";"AULA 20B-1 (Lab. Inglés N°2)";"";
30;"AULA 21";"AULA 21";"";
31;"AULA 22";"AULA 22";"";
32;"AULA 23";"AULA 23";"";
33;"AULA 24";"AULA 24";"";
34;"AULA 25";"AULA 25";"";
35;"AULA 26";"AULA 26";"";
36;"AULA 27";"AULA 27";"";
37;"AULA 28";"AULA 28";"";
38;"AULA 29";"AULA 29";"";
39;"AULA DIGITALES";"AULA DIGITALES";"";
40;"AULA FISICA";"AULA FISICA";"";
41;"AUXILIAR ADMINISTRATIVA";"AUXILIAR ADMINISTRATIVA";"";
42;"BAÑO COSTADO NORTE DE DIRECCION";"BAÑO COSTADO NORTE DE DIRECCION";"";
43;"BARISMO";"BARISMO";"";
44;"BIBLIOTECA";"BIBLIOTECA";"";
45;"Bodega";"Bodega";"";
46;"Bodega (Donación)";"Bodega (Donación)";"";
47;"CALIDAD";"CALIDAD";"";
48;"CASETA GUARDA";"CASETA GUARDA";"";
49;"COMEDOR";"COMEDOR";"";
50;"COMITÉ DE APOYO";"COMITÉ DE APOYO";"";
51;"COMITÉ EVALUACION";"COMITÉ EVALUACION";"";
52;"COOPERATIVA";"COOPERATIVA";"";
53;"COORDINACION ACADEMICA";"COORDINACION ACADEMICA";"";
54;"COORDINACION CON LA EMPRESA";"COORDINACION CON LA EMPRESA";"";
55;"COORDINACION E";"COORDINACION E";"";
56;"COORDINACION EMPRESA";"COORDINACION EMPRESA";"";
57;"COORDINACION TECNICA";"COORDINACION TECNICA";"";
58;"COSTADO NORTE PABELLON B DER.";"COSTADO NORTE PABELLON B DER.";"";
59;"COSTADO OESTE PABELLON C";"COSTADO OESTE PABELLON C";"";
60;"CT";"CT";"";
61;"CUARTO TELECOMUNICACIONES";"CUARTO TELECOMUNICACIONES";"";
62;"DESTRAS DE LA BIBLIOTECA";"DESTRAS DE LA BIBLIOTECA";"";
63;"DESTRAS DEL COMEDOR";"DESTRAS DEL COMEDOR";"";
64;"DIRECCION";"DIRECCION";"";
65;"DIRECCION NOCHE";"DIRECCION NOCHE";"";
66;"EDUCACION FISICA";"EDUCACION FISICA";"";
67;"ESQUINA NORESTE PABELLON A DER.";"ESQUINA NORESTE PABELLON A DER.";"";
68;"ESQUINA NORESTE PABELLON B DER.";"ESQUINA NORESTE PABELLON B DER.";"";
69;"ESQUINA NORESTE PABELLON B IZQ.";"ESQUINA NORESTE PABELLON B IZQ.";"";
70;"EZQUINA NOROESTE PABELLON B IZQ.";"EZQUINA NOROESTE PABELLON B IZQ.";"";
71;"FOTOCOPIADORA";"FOTOCOPIADORA";"";
72;"GROJRDINERIA";"GROJRDINERIA";"";
73;"INNOVACIONES LAB 2";"INNOVACIONES LAB 2";"";
74;"JUNTA ADMINISTRATIVA";"JUNTA ADMINISTRATIVA";"";
75;"LAB 01. CONTABILIDAD";"LAB 01. CONTABILIDAD";"";
76;"LAB ÁREA TÉCNICA";"LAB ÁREA TÉCNICA";"";
77;"LAB CENTRO DE SERVICIOS (Lab N°2)";"LAB CENTRO DE SERVICIOS (Lab N°2)";"";
78;"LAB ELECTRONICA";"LAB ELECTRONICA";"";
79;"Lab Institucional N°2 (Centro de Servicios)";"Lab Institucional N°2 (Centro de Servicios)";"";
80;"LAB MANTENIMIENTO";"LAB MANTENIMIENTO";"";
81;"LAB MANTENIMIENTO(Conectividad)";"LAB MANTENIMIENTO(Conectividad)";"";
82;"LAB MANTENIMIENTO (Donación)";"LAB MANTENIMIENTO (Donación)";"";
83;"LAB MOVIL";"LAB MOVIL";"";
84;"Lab. Institucional N°6";"Lab. Institucional N°6";"";
85;"Lab.Institucional N°10";"Lab.Institucional N°10";"";
86;"LABORATORIO 2 (Lab N°1)";"LABORATORIO 2 (Lab N°1)";"";
87;"MANTENIMIENTO (Oficina de Junta)";"MANTENIMIENTO (Oficina de Junta)";"";
88;"N/A";"N/A";"";
89;"ORIENTACION";"ORIENTACION";"";
90;"PENDIENTE";"PENDIENTE";"";
91;"PORTON ENTRADA";"PORTON ENTRADA";"";
92;"POSTE ILUMINACIÓN PROYECTO ACOPIO";"POSTE ILUMINACIÓN PROYECTO ACOPIO";"";
93;"RED CONECTIVIDAD";"RED CONECTIVIDAD";"";
94;"RED DE CONECTIBIDAD";"RED DE CONECTIBIDAD";"";
95;"SALA AUDIOVISUALES";"SALA AUDIOVISUALES";"";
96;"SALA DE PROFESORES";"SALA DE PROFESORES";"";
97;"SECRETARIA";"SECRETARIA";"";
98;"SISTEMA DE CAMARAS";"SISTEMA DE CAMARAS";"";
99;"SODA";"SODA";"";
100;"SUBDIRECCION";"SUBDIRECCION";"";
101;"SUB-DIRECCION";"SUB-DIRECCION";"";
102;"TALLER  EJECUTIVO";"TALLER  EJECUTIVO";"";
103;"TALLER ELECTRÓNICA";"TALLER ELECTRÓNICA";"";
104;"TURISMO";"TURISMO";"";
105;"";"";"";
106;"Lab. Ingles N° 4";"Lab. Ingles N° 4";"";
107;"Matenimiento";"Matenimiento";"";
108;"Lab. Institucional N° 4";"Lab. Institucional N° 4";"";
109;"Lab. Institucional N° 2";"Lab. Institucional N° 2";"";
110;"Lab. Institucional N° 1";"Lab. Institucional N° 1";"";
111;"Lab. Institucional N° 3";"Lab. Institucional N° 3";"";
112;"DEP. ORIENTACION";"DEP. ORIENTACION";"";
113;"Lab. Institucional N° 5";"Lab. Institucional N° 5";"";
114;"N/I";"N/I";"";
115;"Bar Didáctico y Cafetería";"Bar Didáctico y Cafetería";"";
116;"Ejecutivo";"Ejecutivo";"";
117;"AULA 15 (Lab. Institucional N°2)";"AULA 15 (Lab. Institucional N°2)";"";
